bodyId_pre,instance_pre,type_pre,SynapseCount
910783883,Delta7(PB15)_L8R1R9_L,Delta7,31
911906936,Delta7(PB15)_L3R6_R,Delta7,28
911565419,Delta7(PB15)_L3R6_R,Delta7,27
910783731,Delta7(PB15)_L8R1R9_L,Delta7,24
881221166,Delta7(PB15)_L1L9R8_R,Delta7,24
911211196,Delta7(PB15)_L6R4_L,Delta7,24
911911193,Delta7(PB15)_L8R1R9_L,Delta7,22
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,22
941814787,Delta7(PB15)_L6R3_L,Delta7,21
911919044,Delta7(PB15)_L6R3_L,Delta7,21
910442752,Delta7(PB15)_L8R1R9_L,Delta7,21
910442782,Delta7(PB15)_L4R6_R,Delta7,20
941810314,Delta7(PB15)_L7R3_L,Delta7,20
1158747783,Delta7(PB15)_L7R2_L,Delta7,19
911574261,Delta7(PB15)_L1L9R8_R,Delta7,18
911578595,Delta7(PB15)_L8R1R9_L,Delta7,17
734581598,Delta7(PB15)_L6R3_L,Delta7,17
911241750,Delta7(PB15)_L6R4_L,Delta7,16
973959177,Delta7(PB15)_L6R3_L,Delta7,16
880530613,Delta7(PB15)_L5R4_L,Delta7,15
911129204,Delta7(PB15)_L7R2_L,Delta7,14
911134009,Delta7(PB15)_L4R5_R,Delta7,14
911574041,Delta7(PB15)_L2R7_R,Delta7,13
880880259,Delta7(PB15)_L4R5_R,Delta7,13
911911004,Delta7(PB15)_L1L9R8_R,Delta7,13
912243353,Delta7(PB15)_L7R2_L,Delta7,12
911919917,Delta7(PB15)_L1L9R8_R,Delta7,12
910801332,Delta7(PB15)_L5R4_L,Delta7,11
911138168,Delta7(PB15)_L4R5_R,Delta7,10
910783961,Delta7(PB15)_L3R6_R,Delta7,9
911911699,Delta7(PB15)_L2R7_R,Delta7,8
911901802,Delta7(PB15)_L4R6_R,Delta7,8
941482720,Delta7(PB15)_L6R3_L,Delta7,8
910796989,Delta7(PB15)_L5R4_L,Delta7,7
911470352,Delta7(PB15)_L2R7_R,Delta7,7
911578496,Delta7(PB15)_L2R7_R,Delta7,6
942522378,Delta7(PB15)_L2R7_R,Delta7,6
5813048042,Delta7(PB15)_L5R4_L,Delta7,6
910442723,Delta7(PB15)_L4R5_R,Delta7,5
911129339,Delta7(PB15)_L4R5_R,Delta7,4
880875736,Delta7(PB15)_L5R4_L,Delta7,2
